listing_url,scrape_id,last_scraped,thumbnail_url,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,jurisdiction_names,instant_bookable,cancellation_policy,reviews_per_month
https://www.airbnb.com/rooms/9218403,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/6374cb3b-aa55-48f4-b1c9-8da9d6654841.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Annie,2014-04-09,100%,100%,1,1,t,t,,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.762.794.033.813.230,-12.236.495.872.243.800,Condominium,Entire home/apt,1,1.0,1,1,Real Bed,$110.00,$750.00,"$2,500.00",,,1,$0.00,1,1125,4 weeks ago,2016-01-04,1,2016-01-03,2016-01-03,100,WASHINGTON,f,flexible,1
https://www.airbnb.com/rooms/4125779,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/52657137/de03da3e_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Nick,2014-09-16,100%,100%,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.636.374.262.238.800,-12.236.103.343.324.000,House,Private room,3,1.5,1,2,Real Bed,$99.00,$568.00,"$2,029.00",,$15.00,1,$10.00,1,1125,2 months ago,2016-01-04,11,2014-09-27,2015-10-18,84,WASHINGTON,f,moderate,0.71
https://www.airbnb.com/rooms/8942678,20160104002432,2016-01-04,,Susanna,2015-10-16,100%,100%,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.563.222.417.980,-12.235.888.090.262.100,House,Entire home/apt,8,2.0,4,4,Real Bed,$450.00,"$3,000.00",,,,1,$0.00,4,1125,2 months ago,2016-01-04,1,2015-12-01,2015-12-01,100,WASHINGTON,f,flexible,0.86
https://www.airbnb.com/rooms/10106055,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/3f11eb1a-37c3-4507-a0a1-388b1cea355b.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Maggie & Alex,2015-12-20,N/A,N/A,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.339.395.777.780,-12.237.191.994.372.200,House,Private room,2,1.0,1,1,Real Bed,$75.00,$350.00,,,,1,$0.00,1,1125,today,2016-01-04,0,,,,WASHINGTON,f,flexible,
https://www.airbnb.com/rooms/6362362,20160104002432,2016-01-04,,Tracy,2015-05-11,N/A,N/A,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.851.671.212.960,-12.236.958.103.291.400,House,Entire home/apt,5,2.5,3,3,Real Bed,$600.00,,,$500.00,$150.00,1,$0.00,3,1125,3 months ago,2016-01-04,1,2015-07-20,2015-07-20,100,WASHINGTON,f,moderate,0.18
https://www.airbnb.com/rooms/3544550,20160104002432,2016-01-04,,Jill,2014-06-12,67%,100%,2,2,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.139.734.518.290,-12.236.776.687.067.800,House,Entire home/apt,8,2.5,3,5,Real Bed,$450.00,,,$500.00,$200.00,6,$50.00,4,1125,today,2016-01-04,8,2015-07-04,2015-09-02,100,WASHINGTON,f,strict,1.30
https://www.airbnb.com/rooms/9025039,20160104002432,2016-01-04,,Lori,2010-01-06,100%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.875.224.201.260,-12.236.797.266.885.500,House,Entire home/apt,5,1.0,2,3,Real Bed,$150.00,,,$250.00,$35.00,1,$0.00,1,1125,3 days ago,2016-01-04,0,,,,WASHINGTON,f,flexible,
https://www.airbnb.com/rooms/3200646,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/67216372/da1630c7_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Jean-Marc,2012-10-30,100%,100%,5,5,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.926.602.026.090,-12.237.472.581.108.100,Camper/RV,Private room,2,1.0,1,1,Real Bed,$45.00,$360.00,,$150.00,$25.00,1,$0.00,2,7,yesterday,2016-01-04,80,2014-07-06,2016-01-02,95,WASHINGTON,f,strict,4.38
https://www.airbnb.com/rooms/8859380,20160104002432,2016-01-04,,Kimberly,2012-10-07,100%,100%,5,5,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.762.990.711.611.130,-12.236.894.813.824.800,Apartment,Entire home/apt,6,2.0,3,3,Real Bed,$300.00,,,$500.00,$125.00,1,$0.00,2,1125,4 days ago,2016-01-04,6,2015-10-24,2016-01-02,100,WASHINGTON,t,moderate,2.47
https://www.airbnb.com/rooms/4520099,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/60875300/3ca6aae4_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Lana,2013-05-01,71%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.981.586.823.570,-12.237.433.846.349.100,Apartment,Entire home/apt,3,1.0,1,2,Real Bed,$80.00,$500.00,,,$65.00,3,$50.00,2,1125,5 days ago,2016-01-04,4,2015-01-04,2015-07-25,85,WASHINGTON,f,strict,0.33
https://www.airbnb.com/rooms/2481869,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/41686999/004c7265_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Andrea,2013-02-21,98%,100%,6,6,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.900.777.818.940,-12.236.532.007.300.200,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,$175.00,"$1,000.00","$3,200.00",,$40.00,1,$0.00,2,365,today,2016-01-04,38,2014-05-01,2015-10-11,96,WASHINGTON,f,strict,1.86
https://www.airbnb.com/rooms/1110749,20160104002432,2016-01-04,https://a1.muscache.com/ac/pictures/17085682/a3df21bf_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Blair,2013-03-04,97%,100%,9,9,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.763.508.504.491.000,-12.236.444.347.330.400,House,Entire home/apt,6,1.5,3,3,Real Bed,$325.00,,,$500.00,$100.00,6,$60.00,2,1125,today,2016-01-04,68,2013-06-15,2015-12-21,92,WASHINGTON,f,strict,2.18
https://www.airbnb.com/rooms/5978498,20160104002432,2016-01-04,,Silvia,2015-04-11,60%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.640.633.234.573.500,-12.237.270.939.338.300,House,Entire home/apt,4,3.0,3,2,Real Bed,$175.00,$699.00,"$2,388.00",$200.00,$80.00,1,$0.00,4,120,4 days ago,2016-01-04,8,2015-07-06,2015-12-03,88,WASHINGTON,f,flexible,1.31
https://www.airbnb.com/rooms/5021081,20160104002432,2016-01-04,https://a0.muscache.com/ac/pictures/62860641/7d2c80a8_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Vacation,2015-01-10,71%,100%,1,1,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.638.121.486.971.100,-12.237.578.997.278.400,House,Entire home/apt,7,3.5,4,3,Real Bed,$222.00,"$1,325.00","$4,650.00",$500.00,$250.00,7,$75.00,2,1125,today,2016-01-04,5,2015-08-07,2015-11-12,75,WASHINGTON,t,strict,0.99
https://www.airbnb.com/rooms/1686930,20160104002432,2016-01-04,,Paige,2013-09-18,100%,100%,1,1,t,f,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,4.762.981.553.345.280,-12.236.621.233.485.900,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,$159.00,,,$250.00,$99.00,1,$0.00,1,1125,today,2016-01-04,62,2013-10-08,2015-12-07,97,WASHINGTON,f,strict,2.27
https://www.airbnb.com/rooms/7680289,20160104002432,2016-01-04,https://a2.muscache.com/ac/pictures/100849824/35cbe562_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,Kevin,2015-08-02,100%,100%,2,2,t,t,Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,US,United States,47.639.810.187.873.800,-12.237.380.062.876.800,Apartment,Entire home/apt,4,1.0,1,2,Real Bed,$125.00,$800.00,"$2,700.00",,$50.00,2,$25.00,2,365,2 weeks ago,2016-01-04,19,2015-08-27,2015-11-29,95,WASHINGTON,t,moderate,4.35
